PDB ID,Angle Alpha,Angle Beta,Angle Gamma,Length A,Length B,Length C,Space Group,Z-number
"1KFG","93.86","100.83","99.54","57.04","57.73","86.63","P 1","2"
"1KGY","69.00","75.00","69.00","78.00","78.00","78.00","P 1","4"
"1KHB","88.40","70.30","72.63","45.40","60.58","62.00","P 1","1"
"1KHE","88.36","70.39","72.37","45.39","60.54","61.83","P 1","1"
"1KHF","88.69","70.00","72.54","45.25","60.68","62.03","P 1","1"
"1KHG","88.69","70.13","72.37","45.39","60.87","61.97","P 1","1"
"1KHY","90.45","111.73","107.05","50.21","52.60","56.84","P 1","4"
"1KJU","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1KK8","81.08","84.94","67.24","51.60","58.53","133.29","P 1","1"
"1KM0","97.27","100.13","106.93","59.76","59.87","73.88","P 1","4"
"1KMM","115.00","97.40","90.00","61.40","110.70","108.70","P 1","4"
"1KMN","114.10","97.40","90.00","60.90","107.30","107.20","P 1","4"
"1KMT","79.19","82.66","76.42","34.10","35.92","67.51","P 1","2"
"1KNO","93.80","93.90","115.60","74.10","76.90","88.30","P 1","3"
"1KNZ","89.99","90.00","90.05","40.28","85.36","96.05","P 1","8"
"1KQM","81.64","82.39","87.43","52.40","58.64","148.87","P 1","1"
"1KR3","92.80","95.30","98.00","41.80","44.20","58.50","P 1","2"
"1KS2","89.94","100.95","98.73","42.12","42.12","59.43","P 1","2"
"1KV9","89.65","69.34","68.39","54.81","57.44","67.52","P 1","1"
"1KVP","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1KWO","95.16","96.45","100.93","51.82","57.03","151.71","P 1","1"
"1KXQ","79.31","72.63","86.11","65.17","100.92","103.74","P 1","4"
"1KXV","98.78","100.88","101.14","57.57","60.99","107.33","P 1","2"
"1KXZ","70.90","78.80","66.70","59.10","76.00","97.20","P 1","8"
"1KY6","99.28","96.42","109.47","37.30","40.90","41.61","P 1","1"
"1KYU","99.67","99.95","113.28","38.67","40.75","41.89","P 1","1"
"1L1F","86.26","70.28","60.34","97.80","98.80","124.20","P 1","6"
"1L2O","95.60","96.30","101.50","51.80","57.00","150.50","P 1","1"
"1L2W","103.37","109.18","107.36","72.85","73.35","74.26","P 1","8"
"1L6L","90.70","96.20","93.50","114.40","115.90","126.60","P 1","32"
"1L8R","60.75","86.86","84.55","28.80","47.73","50.44","P 1","2"
"1L9M","97.24","90.15","98.67","57.71","67.51","116.21","P 1","2"
"1L9N","93.23","92.99","89.51","57.49","116.54","60.77","P 1","2"
"1LD4","90.00","90.00","90.00","813.28","813.28","813.28","P 1","8"
"1LJP","77.64","86.67","79.55","31.85","36.91","43.93","P 1","2"
"1LKY","116.21","98.89","98.65","52.75","60.29","62.32","P 1","3"
"1LL4","80.61","82.27","66.72","61.04","78.19","88.46","P 1","4"
"1LL6","80.51","82.13","66.99","60.89","78.18","88.43","P 1","4"
"1LLF","92.71","97.48","109.38","58.46","58.48","89.51","P 1","2"
"1LLS","100.75","101.36","102.62","38.21","44.03","57.65","P 1","1"
"1LLU","79.34","78.66","71.58","74.17","86.33","125.70","P 1","8"
"1LOS","82.76","89.89","76.91","52.49","56.15","73.87","P 1","4"
"1LP3","90.00","101.16","120.00","249.69","249.69","644.76","P 1","1"
"1LU5","79.53","83.02","81.36","31.64","35.64","46.56","P 1","2"
"1LWU","88.81","97.23","86.17","76.74","47.65","244.65","P 1","4"
"1LY2","91.51","111.44","117.81","31.60","33.27","42.11","P 1","1"
"1LZN","88.80","108.80","111.60","27.28","32.04","34.27","P 1","1"
"1LZT","88.53","108.57","111.85","27.28","31.98","34.29","P 1","1"
"1M08","96.80","103.90","91.40","37.70","39.20","53.20","P 1","2"
"1M0F","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1M0W","82.08","86.77","77.49","51.66","52.01","100.64","P 1","2"
"1M24","95.77","98.07","99.45","9.49","16.85","31.68","P 1","2"
"1M51","88.91","70.21","72.62","45.41","61.07","62.01","P 1","1"
"1M54","102.01","101.53","112.60","85.74","85.63","97.08","P 1","6"
"1M5H","90.10","110.04","93.75","77.10","81.81","99.10","P 1","8"
"1M5X","73.34","73.17","71.09","41.51","42.21","71.32","P 1","2"
"1M6K","70.19","84.11","81.51","36.02","51.62","72.89","P 1","2"
"1M8Q","90.00","90.00","90.00","300.00","300.00","300.00","P 1","14"
"1M8U","100.06","106.92","105.27","30.80","36.71","46.25","P 1","1"
"1M8V","105.00","108.80","100.00","68.00","68.00","84.80","P 1","14"
"1M9X","89.98","101.60","89.90","38.47","111.12","67.91","P 1","4"
"1M9Y","89.99","101.45","89.75","38.43","111.22","67.78","P 1","4"
"1MAR","64.47","76.77","76.07","47.64","48.04","40.48","P 1","1"
"1MBM","74.08","63.30","66.18","56.61","60.33","62.64","P 1","4"
"1MGO","91.98","103.01","109.81","44.14","51.31","93.48","P 1","2"
"1MHC","102.71","96.28","110.19","65.25","66.10","55.17","P 1","2"
"1MJG","101.45","109.05","103.94","99.75","136.97","141.53","P 1","4"
"1ML5","90.00","90.00","90.00","290.28","290.28","290.28","P 1","1"
"1MN8","71.90","81.90","80.00","33.80","49.50","50.80","P 1","4"
"1MOK","72.00","73.40","69.81","65.60","87.50","100.70","P 1","4"
"1MPC","98.32","102.85","101.51","44.53","58.35","39.02","P 1","1"
"1MQ8","95.39","106.67","90.00","46.56","62.87","81.52","P 1","2"
"1MS4","85.94","84.20","88.38","50.95","74.22","87.47","P 1","2"
"1MS5","86.00","84.20","88.38","51.37","74.69","88.07","P 1","2"
"1MS8","86.10","84.20","88.20","51.50","74.18","87.57","P 1","2"
"1MS9","86.02","84.17","88.31","51.05","74.20","87.50","P 1","2"
"1MSS","94.47","69.82","75.83","46.57","46.58","66.65","P 1","2"
"1MVW","90.00","90.00","90.00","300.00","300.00","300.00","P 1","14"
"1MX9","90.28","89.32","99.22","91.17","120.71","177.02","P 1","12"
"1MZN","109.97","92.87","89.99","47.12","64.69","94.78","P 1","4"
"1N03","90.00","90.00","90.00","120.00","120.00","120.00","P 1","7"
"1N06","91.11","111.22","97.04","38.98","45.61","52.10","P 1","2"
"1N07","90.69","111.03","97.31","38.81","45.77","51.90","P 1","2"
"1N08","89.70","112.04","98.41","41.24","45.32","52.85","P 1","2"
"1N0L","108.57","89.26","104.14","56.07","56.86","60.93","P 1","2"
"1N1D","88.99","75.03","82.54","37.79","55.93","63.70","P 1","4"
"1N4M","85.55","79.48","67.16","54.37","65.16","69.34","P 1","3"
"1N73","99.58","101.46","92.36","49.73","99.30","120.73","P 1","4"
"1N7Z","110.96","97.60","111.39","66.39","78.47","88.23","P 1","4"
"1N80","93.11","101.28","90.77","66.87","66.78","82.16","P 1","4"
"1N8B","93.04","100.32","91.93","65.20","65.77","79.65","P 1","4"
"1N8J","102.43","116.22","98.81","106.08","107.33","120.08","P 1","20"
"1N8K","91.94","102.97","109.93","44.31","51.38","92.67","P 1","2"
"1N92","78.96","75.47","70.24","44.20","51.05","93.23","P 1","2"
"1NAP","98.37","120.28","92.78","40.77","43.81","44.65","P 1","4"
"1NBV","83.40","89.40","84.40","58.40","43.70","41.50","P 1","1"
"1NC7","63.18","62.27","89.81","54.44","54.45","55.18","P 1","4"
"1ND0","75.51","88.64","89.28","36.57","95.16","141.06","P 1","4"
"1ND7","113.47","99.21","102.26","45.20","50.85","58.43","P 1","1"
"1NF3","81.55","76.59","90.04","41.74","53.79","79.52","P 1","2"
"1NGZ","84.22","77.04","89.39","38.87","44.42","57.86","P 1","1"
"1NHC","114.32","98.00","89.75","68.01","84.13","96.04","P 1","6"
"1NHX","89.71","70.24","72.56","45.38","61.45","62.26","P 1","1"
"1NKP","87.91","84.61","71.50","39.24","45.13","86.48","P 1","4"
"1NLW","88.82","79.08","67.11","47.35","56.02","65.60","P 1","4"
"1NN8","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1NNW","83.70","81.64","81.77","50.14","50.84","64.40","P 1","2"
"1NPM","95.38","89.98","110.46","38.40","55.16","65.37","P 1","2"
"1NR1","86.48","69.69","60.87","96.92","98.64","124.26","P 1","6"
"1NR4","69.97","85.56","72.74","44.35","56.53","76.62","P 1","8"
"1NTG","103.51","109.95","101.52","54.62","59.51","71.59","P 1","4"
"1NTJ","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1NTL","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1NUG","97.24","90.28","98.36","57.51","66.81","116.53","P 1","2"
"1NY6","70.25","85.90","73.27","106.79","108.26","110.02","P 1","14"
"1NZI","87.74","78.04","75.67","35.13","47.50","56.68","P 1","2"
"1O0W","67.20","92.00","77.70","36.00","58.50","70.20","P 1","2"
"1O18","90.00","90.00","90.00","300.00","300.00","300.00","P 1","14"
"1O19","90.00","90.00","90.00","300.00","300.00","300.00","P 1","14"
"1O1A","90.00","90.00","90.00","300.00","300.00","300.00","P 1","14"
"1O1B","90.00","90.00","90.00","300.00","300.00","300.00","P 1","14"
"1O1C","90.00","90.00","90.00","300.00","300.00","300.00","P 1","14"
"1O1D","90.00","90.00","90.00","300.00","300.00","300.00","P 1","12"
"1O1E","90.00","90.00","90.00","300.00","300.00","300.00","P 1","14"
"1O1F","90.00","90.00","90.00","300.00","300.00","300.00","P 1","14"
"1O1G","90.00","90.00","90.00","300.00","300.00","300.00","P 1","14"
"1O46","90.00","90.00","90.00","26.59","58.55","64.19","P 1","4"
"1O57","84.75","84.03","67.47","65.08","72.16","82.97","P 1","4"
"1O6U","116.26","102.39","99.87","59.79","84.24","87.11","P 1","3"
"1O8B","90.23","100.98","98.98","42.05","42.40","60.19","P 1","2"
"1OA0","82.72","73.74","87.44","57.75","61.99","72.80","P 1","2"
"1OCU","110.75","97.35","99.49","31.43","55.76","64.75","P 1","2"
"1OED","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1OF6","64.71","85.51","75.61","82.13","94.70","104.84","P 1","8"
"1OFP","106.38","101.48","94.81","51.59","69.00","102.45","P 1","4"
"1OFR","65.14","85.68","75.73","82.29","94.03","105.12","P 1","8"
"1OG0","65.39","85.77","75.52","82.15","93.97","104.84","P 1","8"
"1OHF","59.13","58.90","64.04","413.55","410.22","419.67","P 1","240"
"1OJD","90.14","90.45","114.02","108.40","132.43","154.84","P 1","10"
"1OJV","86.47","84.37","64.91","46.67","55.08","61.65","P 1","2"
"1OJW","78.39","83.66","63.22","53.10","51.89","64.12","P 1","2"
"1OJY","72.70","79.38","81.70","51.83","78.69","80.90","P 1","4"
"1OK1","86.85","84.92","65.03","47.03","55.13","62.00","P 1","2"
"1OK2","86.56","84.44","64.22","47.58","55.62","61.53","P 1","2"
"1OK3","86.47","84.37","64.91","46.67","55.08","61.65","P 1","2"
"1OK7","73.11","85.58","85.80","41.23","65.22","73.38","P 1","2"
"1OK9","87.19","85.61","65.74","46.13","54.60","62.77","P 1","2"
"1OLM","116.20","102.64","100.24","60.86","84.62","87.45","P 1","3"
"1OLN","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1OLZ","77.41","73.35","63.57","73.32","76.76","89.41","P 1","2"
"1OMP","101.00","100.40","104.20","38.35","44.44","58.25","P 1","1"
"1OOE","89.98","71.98","82.05","41.93","50.89","58.77","P 1","2"
"1OP8","117.12","100.25","100.12","49.48","94.55","94.87","P 1","6"
"1OPA","93.80","113.30","89.90","36.90","64.50","30.00","P 1","2"
"1OPB","92.60","102.90","92.50","37.00","64.60","56.00","P 1","4"
"1OPD","66.90","75.71","70.00","25.85","27.33","27.60","P 1","1"
"1OPJ","67.91","79.76","84.88","41.84","63.51","64.05","P 1","2"
"1ORG","118.13","93.18","107.15","43.30","44.93","45.56","P 1","2"
"1ORT","85.07","59.24","111.97","110.36","126.42","134.54","P 1","12"
"1ORV","112.76","94.93","91.14","62.00","118.18","133.59","P 1","4"
"1ORW","112.65","94.81","91.17","61.97","117.71","133.56","P 1","4"
"1OS4","115.12","104.01","102.69","33.90","49.44","49.26","P 1","6"
"1OSA","93.67","96.88","89.24","29.89","53.42","25.35","P 1","1"
"1OTF","60.00","81.40","69.60","39.60","51.50","51.60","P 1","6"
"1OUW","104.99","94.36","94.85","30.56","51.79","79.78","P 1","4"
"1OVA","87.50","104.00","108.50","62.90","84.70","71.50","P 1","2"
"1OW4","118.55","92.63","107.17","43.42","45.07","45.38","P 1","2"
"1OXH","89.83","83.09","69.15","61.52","71.65","96.10","P 1","4"
"1OXO","85.20","109.20","115.70","55.70","58.80","76.00","P 1","2"
"1OY3","102.56","96.07","91.90","48.62","54.79","59.57","P 1","2"
"1OZH","67.97","63.48","67.68","86.32","92.81","97.42","P 1","4"
"1OZN","85.02","75.91","67.96","32.21","33.92","60.22","P 1","1"
"1P0Z","112.83","107.36","93.74","61.61","84.33","97.71","P 1","10"
"1P2C","66.59","74.74","85.44","44.66","73.75","83.78","P 1","2"
"1P4K","80.85","90.21","105.08","46.18","52.72","61.92","P 1","2"
"1P4V","80.92","90.41","105.10","45.88","52.37","61.74","P 1","2"
"1P7H","71.20","78.97","78.94","74.11","80.32","80.31","P 1","4"
"1P8J","103.56","98.98","107.09","93.31","135.39","137.81","P 1","8"
"1P9Q","92.74","118.02","109.67","33.88","44.25","61.42","P 1","1"
"1PAF","80.00","113.20","116.50","49.40","50.10","65.20","P 1","2"
"1PAG","80.00","113.20","116.50","49.40","50.10","65.20","P 1","2"
"1PAM","85.20","105.00","101.00","64.93","74.45","79.12","P 1","2"
"1PCF","87.69","84.37","85.79","41.28","67.81","67.17","P 1","8"
"1PCV","100.84","92.41","96.57","41.78","41.79","59.56","P 1","2"
"1PDF","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1PDI","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1PDJ","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1PFI","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1PG7","77.48","75.92","63.33","78.89","85.78","92.37","P 1","2"
"1PJL","116.50","94.80","102.80","113.30","119.00","125.90","P 1","8"
"1PK8","80.60","76.90","71.80","70.60","78.40","135.00","P 1","8"
"1PKN","94.90","93.60","112.30","83.60","109.90","146.80","P 1","8"
"1PMM","76.80","77.10","78.24","90.78","91.41","93.69","P 1","6"
"1PN6","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1PN7","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1PN8","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1PNK","100.20","111.44","105.81","52.12","65.08","76.30","P 1","1"
"1PNL","100.20","111.44","105.81","52.12","65.08","76.30","P 1","1"
"1PNM","100.20","111.44","105.81","52.12","65.08","76.30","P 1","1"
"1PQ5","102.84","104.54","102.39","32.89","36.96","39.78","P 1","1"
"1PQ7","102.89","104.59","102.37","32.87","37.02","39.78","P 1","1"
"1PQ8","102.67","104.66","102.61","32.93","36.89","39.74","P 1","1"
"1PV2","102.95","101.52","94.19","54.49","99.02","116.79","P 1","8"
"1PWL","75.71","67.48","76.75","40.02","47.13","47.37","P 1","1"
"1PYH","69.32","72.69","66.52","76.04","119.02","130.43","P 1","16"
"1Q12","74.59","82.47","76.85","59.88","97.28","101.86","P 1","4"
"1Q1B","77.63","79.38","73.20","60.62","93.54","99.80","P 1","4"
"1Q32","89.39","85.81","67.12","64.16","82.21","98.44","P 1","4"
"1Q3X","96.44","91.77","119.52","40.95","41.52","102.99","P 1","2"
"1Q4K","91.45","103.21","118.50","57.07","56.89","85.05","P 1","3"
"1Q4O","103.16","93.88","91.32","32.74","42.02","80.73","P 1","2"
"1Q74","102.09","108.16","97.18","56.79","73.96","85.59","P 1","4"
"1Q8F","112.95","101.95","85.92","44.81","85.71","90.68","P 1","4"
"1Q94","91.50","97.90","114.80","45.40","46.40","124.30","P 1","2"
"1QAS","66.90","85.40","89.80","61.10","75.40","86.90","P 1","2"
"1QAT","66.40","85.60","89.80","61.60","75.10","86.40","P 1","2"
"1QBG","77.10","76.20","86.90","55.88","57.49","98.77","P 1","4"
"1QCG","67.95","82.90","65.37","48.68","49.09","64.56","P 1","2"
"1QCI","68.79","81.05","63.88","48.48","49.03","63.87","P 1","2"
"1QCJ","68.85","81.78","64.62","48.19","48.50","63.92","P 1","2"
"1QFI","86.23","85.16","69.65","15.59","16.01","25.32","P 1","3"
"1QGC","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1QIA","99.25","109.82","89.93","55.20","57.63","73.19","P 1","4"
"1QIW","99.52","114.47","96.86","41.96","56.20","35.27","P 1","2"
"1QL1","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1QL2","90.00","90.00","90.00","1.00","1.00","1.00","P 1","3"
"1QN2","67.81","89.33","74.40","33.76","57.57","50.95","P 1","3"
"1QNG","61.08","62.70","85.08","35.46","37.69","37.99","P 1","1"
"1QOX","89.30","74.30","68.00","116.40","122.30","163.20","P 1","16"
"1QOZ","107.70","113.50","98.80","50.30","61.00","40.00","P 1","2"
"1QR1","81.88","76.25","77.83","50.34","63.61","75.14","P 1","2"
"1QS1","108.65","89.96","90.02","53.90","78.70","105.90","P 1","4"
"1QSG","89.54","87.43","77.77","73.73","82.08","84.18","P 1","8"
"1QSW","98.59","110.45","78.04","45.92","107.24","32.08","P 1","4"
"1QTP","99.68","95.81","113.60","38.70","40.73","41.84","P 1","1"
"1QV6","91.61","103.05","109.90","44.26","51.12","92.72","P 1","2"
"1QV7","91.61","103.03","109.86","44.05","50.96","92.47","P 1","2"
"1QVE","66.39","111.11","93.74","40.18","38.93","37.23","P 1","2"
"1QXJ","73.70","78.50","72.60","36.00","39.70","74.70","P 1","2"
"1QXR","73.70","78.50","72.60","36.00","39.70","74.70","P 1","2"
"1QY4","73.70","78.50","72.60","36.00","39.70","74.70","P 1","2"
"1QZ0","109.61","104.75","89.98","47.29","53.45","69.07","P 1","4"
"1QZA","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1QZB","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1QZC","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1QZD","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1R15","88.16","89.22","89.09","60.40","75.32","138.13","P 1","8"
"1R19","83.62","76.06","90.57","44.38","92.76","93.92","P 1","4"
"1R1Z","91.05","94.14","94.99","44.35","81.07","82.31","P 1","4"
"1R2W","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1R2X","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1R45","98.50","97.30","96.50","47.00","47.00","108.70","P 1","4"
"1R4A","118.11","99.65","95.47","42.08","86.92","86.25","P 1","4"
"1R52","114.44","108.43","89.98","57.82","75.60","91.33","P 1","4"
"1R6F","76.20","78.42","77.17","35.88","45.09","46.92","P 1","1"
"1R6V","93.90","104.72","115.43","49.56","51.03","79.10","P 1","1"
"1R70","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1RD4","74.21","90.00","87.26","45.96","64.41","66.21","P 1","4"
"1RFS","95.60","106.10","117.30","29.05","31.87","35.79","P 1","1"
"1RKQ","112.58","96.37","106.79","45.12","54.87","67.72","P 1","2"
"1RKT","71.96","70.65","80.20","47.98","48.76","57.23","P 1","2"
"1RL2","99.58","95.86","102.63","28.05","36.19","69.71","P 1","2"
"1RMN","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1RMV","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1RV5","96.40","109.20","108.50","49.60","50.40","63.90","P 1","2"
"1RVA","96.54","109.05","108.11","49.44","50.15","63.95","P 1","2"
"1RVB","96.35","108.85","108.45","49.16","50.42","64.06","P 1","2"
"1RVC","96.66","108.76","108.41","49.29","50.34","63.88","P 1","2"
"1RXQ","104.38","90.61","112.05","46.37","50.42","89.41","P 1","4"
"1RY0","73.80","85.90","69.80","46.97","49.18","83.52","P 1","2"
"1RY8","73.90","86.30","69.90","47.06","49.37","83.59","P 1","2"
"1RZI","85.48","90.00","89.71","73.43","111.64","133.31","P 1","8"
"1S0P","97.42","105.09","97.15","37.52","42.13","53.74","P 1","2"
"1S0V","91.93","91.02","110.66","81.13","87.70","206.53","P 1","4"
"1S18","99.44","106.58","99.89","43.16","52.50","77.93","P 1","2"
"1S1D","98.99","106.99","100.09","43.16","52.45","77.48","P 1","2"
"1S20","79.55","77.22","82.01","75.52","81.28","113.21","P 1","8"
"1S45","83.73","61.78","76.68","28.26","35.41","32.06","P 1","8"
"1S4I","84.35","76.02","90.42","38.22","61.11","64.92","P 1","4"
"1S5A","102.47","99.98","106.51","43.61","55.72","72.40","P 1","4"
"1S5U","103.47","95.15","97.58","57.11","70.19","71.53","P 1","8"
"1S5Y","77.06","69.79","84.17","55.99","62.98","63.50","P 1","2"
"1SDR","90.92","103.63","113.81","27.69","30.90","41.98","P 1","2"
"1SED","111.37","107.19","107.13","56.78","64.55","64.50","P 1","3"
"1SGJ","68.26","83.51","68.38","57.61","73.28","74.48","P 1","3"
"1SH0","104.36","92.49","111.91","55.14","59.91","100.10","P 1","2"
"1SIU","114.82","106.36","102.03","42.16","45.04","49.43","P 1","1"
"1SLI","113.14","95.39","106.87","46.44","69.52","72.51","P 1","1"
"1SLL","113.48","95.41","107.31","46.36","69.28","72.47","P 1","1"
"1SMQ","83.47","83.45","70.79","79.67","79.57","88.05","P 1","4"
"1SN7","113.90","106.10","102.30","41.81","44.95","49.11","P 1","1"
"1SNX","92.50","85.50","74.00","39.50","54.90","59.20","P 1","2"
"1SO0","107.70","98.40","102.70","61.00","68.70","98.90","P 1","4"
"1SQL","90.14","89.99","76.17","63.55","84.22","89.05","P 1","16"
"1SUZ","97.10","108.80","107.30","47.41","48.79","63.40","P 1","2"
"1SVP","93.10","96.73","94.93","29.00","56.50","60.83","P 1","2"
"1SX5","96.68","108.94","107.33","47.71","48.63","63.54","P 1","2"
"1SX8","96.90","108.90","107.10","47.80","49.10","63.70","P 1","2"
"1T0B","90.84","97.78","118.69","71.54","74.60","123.52","P 1","8"
"1T0H","107.34","95.75","97.00","36.18","45.26","58.70","P 1","1"
"1T0J","96.81","102.46","98.53","36.76","45.33","60.65","P 1","1"
"1T41","67.32","76.79","75.82","47.06","47.53","40.03","P 1","1"
"1T8Z","97.37","91.94","113.46","30.55","30.67","72.40","P 1","5"
"1T91","71.51","71.72","77.75","56.69","56.78","74.51","P 1","4"
"1T95","75.87","85.61","69.49","33.67","44.45","54.72","P 1","1"
"1TAR","83.10","104.80","83.30","57.40","59.40","65.50","P 1","2"
"1TED","108.23","92.97","103.69","59.91","80.65","99.61","P 1","4"
"1TEE","108.15","93.14","103.88","59.95","80.43","99.97","P 1","4"
"1TF6","90.07","92.98","102.95","64.18","64.71","78.04","P 1","2"
"1THD","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1TI2","63.69","63.98","64.90","174.02","179.64","181.23","P 1","6"
"1TI4","64.11","64.45","65.11","172.47","178.14","179.05","P 1","6"
"1TI6","63.83","64.40","65.04","172.57","178.44","179.66","P 1","6"
"1TIA","79.05","112.14","70.28","45.57","47.10","33.50","P 1","1"
"1TKS","66.23","71.98","89.86","40.44","48.13","59.80","P 1","2"
"1TKU","66.40","72.30","89.90","40.20","47.90","59.80","P 1","2"
"1TLL","76.80","72.07","67.14","65.76","69.17","82.63","P 1","2"
"1TPF","92.27","74.63","116.74","48.08","53.45","64.71","P 1","2"
"1TQE","76.67","71.83","71.81","44.80","66.93","66.97","P 1","4"
"1TT8","67.57","87.83","65.66","31.32","33.85","39.78","P 1","1"
"1TW9","79.09","80.08","81.55","72.68","74.03","88.57","P 1","8"
"1TZN","69.58","69.07","65.58","158.80","158.85","214.08","P 1","14"
"1TZO","77.56","75.74","76.01","149.61","167.03","168.20","P 1","14"
"1U05","90.25","96.51","90.29","43.68","50.47","55.26","P 1","2"
"1U0D","90.28","89.94","98.78","43.84","70.33","88.02","P 1","2"
"1U0W","111.39","91.61","90.07","64.33","71.72","85.75","P 1","4"
"1U10","93.15","95.93","90.75","35.61","77.99","127.66","P 1","6"
"1U1I","65.79","72.43","74.98","62.77","83.94","91.79","P 1","4"
"1U2L","93.83","90.71","103.27","52.86","52.76","55.99","P 1","2"
"1U3U","79.76","89.67","68.97","44.08","52.51","90.12","P 1","2"
"1U3V","79.58","89.43","68.60","44.32","52.83","90.35","P 1","2"
"1U69","70.71","89.88","85.61","44.55","55.02","67.07","P 1","4"
"1U6S","113.25","100.82","92.66","55.57","63.19","55.33","P 1","2"
"1U8T","60.36","60.75","60.57","54.28","53.48","54.10","P 1","4"
"1UC3","103.95","91.52","97.64","59.21","73.61","105.87","P 1","12"
"1UCU","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1UGI","73.67","85.55","66.46","47.80","59.40","79.80","P 1","8"
"1UHG","87.24","71.73","75.95","62.65","70.91","83.39","P 1","4"
"1UHH","72.20","80.00","68.40","34.20","57.27","58.19","P 1","2"
"1UHI","102.05","99.70","103.80","34.26","54.43","57.52","P 1","2"
"1UHJ","72.22","80.32","68.01","34.21","56.98","57.82","P 1","2"
"1UHK","72.35","79.97","67.89","34.22","57.04","57.77","P 1","2"
"1UKK","76.93","74.04","64.05","37.58","40.95","48.14","P 1","2"
"1UKO","89.93","89.88","90.08","75.10","78.14","87.94","P 1","4"
"1UKP","89.92","90.21","89.90","75.46","78.80","88.56","P 1","4"
"1UKQ","85.13","105.02","101.02","64.94","74.49","79.10","P 1","2"
"1UKS","85.19","104.86","101.04","64.85","74.53","78.94","P 1","2"
"1UKT","85.29","105.59","100.81","65.68","74.47","80.10","P 1","2"
"1ULS","90.12","90.96","95.12","77.26","77.33","78.67","P 1","8"
"1UM2","100.40","98.70","78.90","66.40","70.40","58.00","P 1","2"
"1UON","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1UP5","93.22","96.86","89.19","59.70","53.07","24.57","P 1","2"
"1UPN","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1UPX","82.80","73.70","87.30","57.30","61.20","72.00","P 1","2"
"1UR6","90.00","90.00","90.00","1.00","1.00","1.00","P 1","1"
"1USK","112.79","93.23","90.97","68.42","70.14","79.90","P 1","4"
"1UVZ","87.96","83.19","79.08","49.04","49.09","78.98","P 1","6"
"1UWC","74.96","78.63","71.10","38.76","40.18","77.95","P 1","2"
"1UZ6","86.48","71.32","83.26","67.40","71.56","104.79","P 1","4"
"1UZ8","95.98","95.41","101.71","45.10","60.78","91.56","P 1","2"
"1UZA","75.24","78.82","71.30","38.30","39.68","77.07","P 1","2"
"1UZZ","86.23","75.37","82.13","55.28","55.37","86.93","P 1","4"
"1V3J","85.11","104.96","100.97","63.93","73.66","78.20","P 1","2"
"1V3K","85.15","105.05","101.02","64.88","74.43","79.01","P 1","2"
"1V3L","85.47","105.53","101.43","64.97","73.71","80.08","P 1","2"
"1V3M","84.93","105.12","101.00","64.09","73.60","78.30","P 1","2"
"1V40","93.25","89.98","90.01","47.29","49.24","94.53","P 1","4"
"1V7S","88.44","108.62","111.71","27.23","31.97","34.27","P 1","1"
"1V7T","88.00","95.44","90.58","25.93","39.97","42.39","P 1","2"
"1VA7","60.70","70.74","70.60","38.80","48.75","48.84","P 1","4"
"1VAP","94.17","79.10","106.27","34.71","39.89","42.85","P 1","2"
"1VB2","119.76","61.82","88.96","188.48","187.57","188.83","P 1","1"
"1VBR","70.43","84.33","68.77","58.46","58.43","61.29","P 1","2"
"1VBU","84.59","71.14","68.32","58.50","59.10","61.34","P 1","2"
"1VBW","92.05","100.11","101.80","22.66","23.02","27.68","P 1","1"
"1VFY","111.79","92.70","105.70","24.09","26.57","31.61","P 1","1"
